name,kategori,harga,toko,alamat,kontak,gambar
Hood AmScuD X-Stretch,Hood,363750,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80242",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/NEOPRENE/AMSCUD/AMSCUD%20HOOD%20X-STRETCH%201-550x550.jpg
Hood AmScuD X-Ghixel 3mm,Hood,390000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80243",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/NEOPRENE/AMSCUD/HOOD_AMSCUD_X-GHIXEL_02-550x550.jpg
Hood Mares Comfort 5.3mm,Hood,399600,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80244",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/NEOPRENE/MARES/76734520_9ccc194d-dae4-4d0e-8ee0-6c2506ca792e_451_451-550x550.png
Camera Go Pro Hero 13 Black,Camera,7500000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80245",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/CAMERA%20ACC/HERO%2013/gopro-hero13-black-01-550x550h.jpg
Camera Akaso V50X - Action Camera,Camera,1524000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80246",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/ACCESSORIES/AKASO/86a6be95-eaa0-458c-98f0-785d5abd3772-550x550.jpg
Camera Insta 360 X4 - Action Camera,Camera,9250000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80247",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/CAMERA%20ACC/insta/X4-550x550w.png
AmScuD Tactical Neoprene Attachment,Others,449625,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80248",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/NEOPRENE/AMSCUD/KOBOI-POCKET-550x550.jpg
Glove Beuchat Elaskin Nylon 2mm 212202 – 212204,Gloves,629606,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,https://www.balidiveshop.com/wp-content/uploads/2024/01/GLOVE-BEUCHAT-ELASKIN-BALIDIVESHOP.jpg
Glove Fourth Element Stretch CR Neoprene 3mm GL023,Gloves,1250000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,https://www.balidiveshop.com/wp-content/uploads/2023/02/GLOVE-FOURTH-ELEMENT.jpg
Hood IST Pro Ear 5mm HD6,Hood,535000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,https://www.balidiveshop.com/wp-content/uploads/2023/01/ear-Pro-Hood-2.jpg
Hood Vest Zeepro Stretch CR Neoprene 2mm,Hood,999000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,https://www.balidiveshop.com/wp-content/uploads/2023/03/VEST-HOOD-ZEEPRO.jpg
Jacket Wetsuit Beuchat Atoll Seaweed Men 2mm 79415,Jacket,2600000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,https://www.balidiveshop.com/wp-content/uploads/2024/08/atoll-zipped-jacket-2mm-seaweedman-balidiveshop-1-956x838.jpg
Jacket Wetsuit Beuchat Atoll Seaweed Women 2mm 79515,Jacket,2600000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,https://www.balidiveshop.com/wp-content/uploads/2024/08/JACKET-BEUCHAT-ATOLL-2MM-SEAWEED-WOMEN-balidiveshop-1.jpg
Jacket Wetsuit Fourth Element Sipadan V2.0 Women 3mm SIPWJ02,Jacket,4250000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,https://www.balidiveshop.com/wp-content/uploads/2023/02/jaket-sipadan-women-2-956x838.jpg
Long Pants Fourth Element Sipadan V2.0 Men 3mm SIPML02,Pants,3600000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,https://www.balidiveshop.com/wp-content/uploads/2023/02/LONG-PANTS-MEN-1-956x838.jpg
Long Pants Fourth Element Sipadan V2.0 Women 3mm SIPWL02,Pants,3600000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,https://www.balidiveshop.com/wp-content/uploads/2023/02/LONG-PANTS-MEN-1-956x838.jpg
